Testkonfiguration;Iteration;Agent 1;Agent 2;Agent 3;Agent 4;Agent 5;Gesamtkosten;Vorgabe des Mediators
ph1in20st4de5mh0ms0rand.req;2;1818.58;631.55;1160.3;573.1;649.2;4832.73;111111111100111011001010111111111110111011010011101111001000
ph1in21st1de6mh0ms0btlneck.req;1;19.94;39.75;1100.65;171.38;168.75;1500.47;110010000101110000001111111111111111110000000000111010010011
ph1in21st1de6mh0ms0btlneck.req;2;19.94;39.75;1100.65;171.38;168.75;1500.47;110010000101110001011101111111111111110000000000111111111111
ph1in21st1de6mh0ms0high.req;1;19.94;69.5;24.0;60.0;150.0;323.44;110010000101100010000100111011000111111010100100100111000110
ph1in21st1de6mh0ms0high.req;2;15.73;74.49;24.0;60.0;150.0;324.22;110010110101100110000100111111101101111010011101110110010110
ph1in21st1de6mh0ms0low.req;1;450.37;260.27;353.7;614.27;1290.25;2968.86;111111111111111111111111111111111111111111111111111111111111
ph1in21st1de6mh0ms0low.req;2;450.37;260.27;353.7;614.27;1290.25;2968.86;111111111111111111111111111111111111111111111111111111111111
ph1in21st1de6mh0ms0rand.req;1;63.27;84.44;111.11;234.81;692.35;1185.98;111101010111110101101011110101101111111111011110111111111110
ph1in21st1de6mh0ms0rand.req;2;68.58;72.73;116.8;221.56;695.2;1174.87;111001010111111001111011111111111101111001101111111111111110
ph1in22st2de6mh0ms0btlneck.req;1;91.33;32.0;2203.0;251.25;251.25;2828.83;110000000101111110001111111111111111110000000000110000000000
ph1in22st2de6mh0ms0btlneck.req;2;116.62;32.0;2182.1;251.25;251.25;2833.22;110000001001111011011001111111111111110000000000110000000000
ph1in22st2de6mh0ms0high.req;1;154.01;24.0;60.0;150.0;150.0;538.01;100010000100101110110110100111100100100111111100101011100110
ph1in22st2de6mh0ms0high.req;2;154.01;24.0;60.0;150.0;150.0;538.01;100010000100111110011110100111001111100011000101111110001110
ph1in22st2de6mh0ms0low.req;1;838.93;523.4;768.55;1290.25;1290.25;4711.38;111111111111111111111111111111111111111111111111111111111111
ph1in22st2de6mh0ms0low.req;2;838.93;523.4;768.55;1290.25;1290.25;4711.38;111111111111111111111111111111111111111111111111111111111111
ph1in22st2de6mh0ms0rand.req;1;227.15;165.82;302.37;484.85;926.05;2106.24;111011111111111111111011110011111011110101001100111111111111
ph1in22st2de6mh0ms0rand.req;2;227.68;151.42;309.06;485.4;919.25;2092.81;111111111111110111011111111011111111110111100110111111111111
ph1in23st3de6mh0ms0btlneck.req;1;135.84;200.0;2203.0;251.25;251.25;3041.34;110000000101111100010111111111111111110000000000110000000000
ph1in23st3de6mh0ms0btlneck.req;2;135.84;200.0;2203.0;251.25;251.25;3041.34;110000000101111000001101111111111111110000000000110000000000
ph1in23st3de6mh0ms0high.req;1;214.96;150.0;60.0;150.0;150.0;724.96;100010000100100011110110110010111110101111111100100111011100
ph1in23st3de6mh0ms0high.req;2;214.96;150.0;60.0;150.0;150.0;724.96;100010000100111110000111100011111100100110100100111011011101
ph1in23st3de6mh0ms0low.req;1;1196.0;1290.25;768.55;1290.25;1290.25;5835.3;111111111111111111111111111111111111111111111111111111111111
ph1in23st3de6mh0ms0low.req;2;1196.0;1290.25;768.55;1290.25;1290.25;5835.3;111111111111111111111111111111111111111111111111111111111111
ph1in23st3de6mh0ms0rand.req;1;212.16;490.75;221.8;693.55;464.45;2082.71;111110011111110010101011110110010111111111111111110010011111
ph1in23st3de6mh0ms0rand.req;2;217.44;488.0;216.5;700.1;451.8;2073.84;111101011111110100010111110101111111110111111111100100111110
ph1in24st4de6mh0ms0btlneck.req;1;209.8;200.0;2515.0;200.0;200.0;3324.8;110000000101111011101111111111111111110110000111111010000111
ph1in24st4de6mh0ms0btlneck.req;2;209.8;200.0;2515.0;200.0;200.0;3324.8;110000000101111111001111111111111111111100100101111111101101
ph1in24st4de6mh0ms0high.req;1;298.7;150.0;150.0;150.0;150.0;898.7;100010000100101111011111101010110100100011010111101010101111
ph1in24st4de6mh0ms0high.req;2;298.7;150.0;150.0;150.0;150.0;898.7;100010000100101110110100100110101110111011101110110010011111
ph1in24st4de6mh0ms0low.req;1;1725.0;1290.25;1290.25;1290.25;1290.25;6886.0;111111111111111111111111111111111111111111111111111111111111
ph1in24st4de6mh0ms0low.req;2;1725.0;1290.25;1290.25;1290.25;1290.25;6886.0;111111111111111111111111111111111111111111111111111111111111
ph1in24st4de6mh0ms0rand.req;1;446.2;495.25;539.0;1313.8;1242.25;4036.5;111110001011110110011001100110111101101111101111011111110111
ph1in24st4de6mh0ms0rand.req;2;294.4;490.65;468.05;1273.4;1203.15;3729.65;110110001111110100011011110100111111111111111111111111111111
ph1in25st1de1mh1ms0btlneck.req;1;15.36;38.4;3040.0;192.5;218.75;3505.01;111111111111111111111111111111111111110000010000111001010011
ph1in25st1de1mh1ms0btlneck.req;2;15.36;38.4;3040.0;192.5;218.75;3505.01;111111111111111111111111111111111111110000010000111010010010
ph1in25st1de1mh1ms0high.req;1;15.36;38.4;100.0;177.5;200.0;531.26;111111111111111111111111111101111101101000100100111010110101
ph1in25st1de1mh1ms0high.req;2;15.36;38.4;100.0;195.0;172.5;521.26;111111111111111111111111111101111101100101001000100011011010
ph1in25st1de1mh1ms0low.req;1;4493.44;1195.6;745.0;740.5;1290.25;8464.79;111111111111111111111111111111111111111111111111111111111111
ph1in25st1de1mh1ms0low.req;2;4493.44;1195.6;745.0;740.5;1290.25;8464.79;111111111111111111111111111111111111111111111111111111111111
