Testkonfiguration;Iteration;Agent 1;Agent 2;Agent 3;Agent 4;Agent 5;Gesamtkosten;Vorgabe des Mediators
ph1in20st4de5mh0ms0low.req;1;2528.0;1436.25;1383.5;1453.75;1443.75;8245.25;101111111100011111111011110111111111111111101010111101110110
ph1in20st4de5mh0ms0low.req;2;2372.9;1433.75;1496.5;1348.25;1348.25;7999.65;111111111100101111011111101111101000111111111100111111111110
ph1in20st4de5mh0ms0rand.req;1;1818.58;675.7;1446.9;566.4;640.1;5147.68;111111111100101001110001000110110001110101010111110110110001
ph1in20st4de5mh0ms0rand.req;2;2105.46;679.4;1198.45;581.25;641.25;5205.81;010111111100110110010001111110111111110010101000110101011011
ph1in21st1de6mh0ms0btlneck.req;1;12.98;41.83;1234.36;155.35;278.75;1723.27;111111110101100010111101111011111011100001000000011011000100
ph1in21st1de6mh0ms0btlneck.req;2;31.47;58.13;1186.26;172.25;325.75;1773.86;110111001011111000110011101011111111111110100000000101111111
ph1in21st1de6mh0ms0high.req;1;79.24;30.9;24.0;60.0;150.0;344.14;010010100100100110011100110111110100101011110110111110101101
ph1in21st1de6mh0ms0high.req;2;127.92;9.6;24.0;60.0;169.75;391.27;100010000001111010011101111110001001100011101111101100000101
ph1in21st1de6mh0ms0low.req;1;450.37;260.27;390.3;689.07;1355.75;3145.76;111111111111111111111111101111111111101101111111101111101111
ph1in21st1de6mh0ms0low.req;2;516.62;297.21;387.28;680.82;1348.25;3230.18;111111101111111111101111111111101111101111111111111111111111
ph1in21st1de6mh0ms0rand.req;1;69.39;69.27;121.7;212.81;818.25;1291.42;111111011011111011011011111001011111111011111011111110110100
ph1in21st1de6mh0ms0rand.req;2;58.77;62.08;117.81;241.85;753.3;1233.81;110010111111111011111111110100101111110101110011111111111110
ph1in22st2de6mh0ms0btlneck.req;1;668.45;24.0;3094.0;200.5;200.5;4187.45;010100000000110111000010100000100100101100100010101111011101
ph1in22st2de6mh0ms0btlneck.req;2;173.06;40.0;3192.45;246.0;246.0;3897.51;110011000100110111001110000011100000111010011111110010000010
ph1in22st2de6mh0ms0high.req;1;412.23;24.0;60.0;172.0;150.0;818.23;000010100000101111111100101111101111011011100100111010101110
ph1in22st2de6mh0ms0high.req;2;368.84;45.78;81.45;150.0;150.0;796.07;111000100000101011101101110000111001111111101100110011111000
ph1in22st2de6mh0ms0low.req;1;838.93;523.4;768.55;1368.25;1498.75;4997.88;111111111111111111111111111111111111101111101111111110101100
ph1in22st2de6mh0ms0low.req;2;838.93;620.81;829.6;1318.0;1323.0;4930.34;111111111111111110111111111110111111111110111111111111101111
ph1in22st2de6mh0ms0rand.req;1;303.01;184.09;337.0;538.9;953.1;2316.1;011111101111100111101111100111101111111110110110001111111111
ph1in22st2de6mh0ms0rand.req;2;276.52;134.6;374.42;504.55;946.6;2236.69;111011110111111111111111010101111011110001110010111110111111
ph1in23st3de6mh0ms0btlneck.req;1;1036.0;185.25;3006.0;200.5;200.5;4628.25;101000000000110111100100100000010000100110011011101001011111
ph1in23st3de6mh0ms0btlneck.req;2;362.08;233.75;3408.05;200.5;200.5;4404.88;100011001000001110011111100000000100100010100000100011100000
ph1in23st3de6mh0ms0high.req;1;292.4;188.25;60.0;150.0;150.0;840.65;000010000100100000110101110010001101110010001111111010101111
ph1in23st3de6mh0ms0high.req;2;481.6;150.0;60.0;150.0;150.0;991.6;010000010000110100010101111100110101111100010101110110010000
ph1in23st3de6mh0ms0low.req;1;1337.68;1330.5;1028.7;1438.75;1353.25;6488.88;111110111111111111111101011111011101110111001111111111110101
ph1in23st3de6mh0ms0low.req;2;1302.48;1584.25;912.65;1360.75;1325.5;6485.63;101111111111111000010110011101111111111100111111111111101111
ph1in23st3de6mh0ms0rand.req;1;286.8;526.75;209.15;725.45;487.7;2235.85;111010100111111010011100111011011111111111111010110111100011
ph1in23st3de6mh0ms0rand.req;2;402.16;503.5;210.25;746.35;514.8;2377.06;011011111001111010110011111010111001111111011010111101111111
ph1in24st4de6mh0ms0btlneck.req;1;1081.9;165.25;2920.0;150.0;150.0;4467.15;110100000000011111010011100010111011110111110110110101010001
ph1in24st4de6mh0ms0btlneck.req;2;1081.9;150.0;2808.0;165.25;150.0;4355.15;110100000000110100101000110100001110010111111110111110110000
ph1in24st4de6mh0ms0high.req;1;468.1;150.0;150.0;175.0;150.0;1093.1;101000001000101110111110101011001101101010110100101111101000
ph1in24st4de6mh0ms0high.req;2;358.1;150.0;150.0;150.0;430.0;1238.1;101000000100101110111110101110010110111111000111100000000001
ph1in24st4de6mh0ms0low.req;1;1991.2;1411.0;1338.0;1323.0;1318.0;7381.2;001111111111110110011111111111111011111011111111101111111111
ph1in24st4de6mh0ms0low.req;2;1880.1;1413.5;1355.75;1320.5;1433.5;7403.35;111011111111101111011011011111011111111101111111111110110110
ph1in24st4de6mh0ms0rand.req;1;598.46;627.1;502.95;1339.85;1166.1;4234.46;110010010011100001000111111010101010111001111011011111111111
ph1in24st4de6mh0ms0rand.req;2;560.18;563.5;518.5;1243.4;1173.15;4058.73;000100101011011101101110100101110001111111111111111111111111
ph1in25st1de1mh1ms0btlneck.req;1;2623.84;9.6;5037.0;161.0;200.5;8031.94;101001000000111111111011000000000000101100010100100100000111
ph1in25st1de1mh1ms0btlneck.req;2;4147.84;9.6;4263.0;170.0;200.5;8790.94;011000000000111111110101011100111001100100000011100001010000
ph1in25st1de1mh1ms0high.req;1;15.36;871.6;24.0;60.0;172.75;1143.71;111111111111000001001000101101011000101011001110001101011001
ph1in25st1de1mh1ms0high.req;2;886.4;479.6;24.0;60.0;150.0;1600.0;100010011010101111100001101110101101100010101011110111110111
ph1in25st1de1mh1ms0low.req;1;5097.44;1437.6;977.0;866.5;1318.0;9696.54;111101111111111110111111011111111111011111101111111111111111
ph1in25st1de1mh1ms0low.req;2;5217.44;1417.6;856.0;796.0;1368.25;9655.29;111111101111111111101111111111111111111111101111111111100111
